variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
pack_level,1000,1,3,3,none,133.38,25.22,86.5394,0.3556,53.53,26.2,25.71,0.0,62.74,100.47,146,18,385,8,0,0,4.48,open
pack_level,1001,1,3,3,none,107.78,23.484,70.9944,0.3806,56.5,26.224,25.71,0.0,63.08,101.95,156,16,110,2,0,0,4.49,open
pack_level,1002,1,3,3,none,117.06,23.981,76.4864,0.3429,55.45,26.216,25.72,0.0,72.65,117.52,171,15,282,7,0,0,4.29,open
pack_level,1003,1,3,3,none,110.78,23.456,72.3116,0.3407,56.25,26.222,25.71,0.0,74.73,115.9,159,18,325,4,0,0,3.87,open
pack_level,1004,1,3,3,none,121.04,24.422,79.5843,0.3669,54.86,26.211,25.71,0.0,74.02,118.01,175,23,174,5,0,0,4.71,open
pack_level,1005,1,3,3,none,98.65,22.92,64.2679,0.2339,57.77,26.234,25.69,0.0,77.09,114.72,158,13,191,3,0,0,3.18,dead_end
pack_level,1006,0,2,3,timeout,240.0,25.307,154.9672,0.3944,40.45,26.124,25.69,0.0,74.27,102.95,131,19,1538,29,0,0,3.78,open
pack_level,1007,1,3,3,none,106.23,23.016,69.8324,0.394,56.72,26.226,25.71,0.0,75.35,113.21,144,15,113,2,0,0,4.46,open
pack_level,1008,1,3,3,none,120.92,23.949,79.0961,0.3399,54.95,26.212,25.7,0.0,78.48,121.32,168,21,289,5,0,0,4.35,open
pack_level,1009,1,3,3,none,106.88,23.403,70.3734,0.3459,56.62,26.225,25.7,0.0,76.5,112.62,172,13,88,3,0,0,4.92,open
pack_level,1010,1,3,3,none,116.11,24.57,76.3827,0.403,55.47,26.22,25.71,0.0,73.89,106.06,160,20,151,5,0,0,4.47,dead_end
pack_level,1011,1,3,3,none,132.57,24.841,86.7017,0.3701,53.5,26.2,25.7,0.0,74.15,123.04,156,14,187,7,0,0,5.17,open
pack_level,1012,1,3,3,none,100.02,23.037,65.9001,0.4132,57.47,26.232,25.69,0.0,67.36,89.25,150,17,92,1,0,0,4.52,open
pack_level,1013,1,3,3,none,123.33,23.561,80.4557,0.401,54.69,26.21,25.7,0.0,72.55,108.41,153,19,198,6,0,0,5.19,open
pack_level,1014,1,3,3,none,123.08,24.383,81.5239,0.3463,54.49,26.208,25.7,0.0,63.41,92.47,170,22,250,8,0,0,3.87,open
pack_level,1015,1,3,3,none,113.68,24.389,74.391,0.3636,55.85,26.219,25.72,0.0,71.72,107.82,155,19,222,5,0,0,4.07,open
pack_level,1016,1,3,3,none,127.04,23.87,82.8086,0.3566,54.25,26.206,25.7,0.0,72.27,110.18,153,24,295,7,0,0,4.18,open
pack_level,1017,1,3,3,none,120.86,23.901,80.0539,0.4435,54.77,26.21,25.7,0.0,70.75,109.73,167,17,194,6,0,0,4.4,open
pack_level,1018,1,3,3,none,126.39,25.961,83.1173,0.3696,54.19,26.205,25.7,0.0,74.15,126.72,141,18,366,8,0,0,3.53,open
pack_level,1019,1,3,3,none,124.16,26.393,82.015,0.4337,54.39,26.207,25.72,0.0,71.37,110.22,167,22,105,9,0,0,4.38,open
pack_level,1020,1,3,3,none,108.99,24.728,71.336,0.3427,56.43,26.223,25.72,0.0,79.41,111.53,152,18,203,6,0,0,4.12,open
pack_level,1021,1,3,3,none,124.01,23.944,80.9975,0.3526,54.59,26.213,25.7,0.0,75.76,107.31,144,12,229,5,0,0,4.79,dead_end
pack_level,1022,1,3,3,none,128.12,25.156,84.1578,0.3879,53.99,26.204,25.7,0.0,77.38,121.24,144,26,258,9,0,0,4.05,open
pack_level,1023,1,3,3,none,104.86,22.248,68.4444,0.2623,56.98,26.228,25.7,0.0,64.52,125.24,155,9,184,3,0,0,4.5,open
pack_level,1024,0,2,3,timeout,240.0,24.315,155.2544,0.4017,40.39,26.123,25.71,0.0,35.34,53.0,146,22,1459,31,0,0,4.47,open
pack_level,1025,1,3,3,none,120.85,24.271,79.0846,0.3057,54.96,26.212,25.71,0.0,33.0,52.46,143,16,335,7,0,0,3.65,open
pack_level,1026,1,3,3,none,133.49,26.415,87.5085,0.3736,53.35,26.199,25.7,0.0,33.86,52.64,159,24,169,9,0,0,4.36,open
pack_level,1027,1,3,3,none,114.43,23.953,74.993,0.3321,55.74,26.218,25.72,0.0,32.84,52.52,160,16,253,5,0,15,3.87,open
pack_level,1028,1,3,3,none,137.59,24.873,90.3237,0.3916,52.81,26.194,25.7,0.0,32.65,52.88,171,21,275,9,0,0,4.99,open
pack_level,1029,1,3,3,none,128.41,23.743,84.0081,0.3526,54.02,26.209,25.69,0.0,32.9,52.51,152,20,420,9,0,16,4.28,dead_end
pack_level,1030,1,3,3,none,126.84,25.456,83.524,0.4014,54.11,26.205,25.7,0.0,35.84,58.52,153,24,204,9,0,0,3.83,open
pack_level,1031,1,3,3,none,118.91,23.636,77.3095,0.3204,55.29,26.219,25.7,0.0,33.99,52.93,149,14,173,5,0,0,4.34,dead_end
pack_level,1032,1,3,3,none,123.34,24.923,80.1523,0.3412,54.75,26.21,25.7,0.0,41.58,67.63,160,13,169,6,0,0,4.86,open
pack_level,1033,1,3,3,none,130.87,24.63,85.7854,0.3448,53.68,26.201,25.7,0.0,40.8,55.9,167,24,285,8,0,0,4.09,open
pack_level,1034,1,3,3,none,117.18,23.108,77.2233,0.3283,55.31,26.214,25.71,0.0,35.97,53.12,159,13,238,5,0,21,4.41,open
pack_level,1035,1,3,3,none,121.48,26.163,80.0177,0.4006,54.78,26.21,25.71,0.0,33.44,52.79,159,25,246,10,0,0,4.07,open
pack_level,1036,1,3,3,none,117.78,25.329,76.5578,0.3583,55.44,26.215,25.7,0.0,34.78,64.38,165,14,200,5,0,0,4.3,open
pack_level,1037,1,3,3,none,126.75,23.618,83.7161,0.4157,54.08,26.205,25.7,0.0,35.09,57.57,165,14,167,8,0,5,4.59,open
pack_level,1038,1,3,3,none,114.55,24.627,75.0181,0.3289,55.73,26.218,25.72,0.0,33.58,51.97,172,14,242,6,0,0,4.28,open
pack_level,1039,1,3,3,none,107.67,23.905,70.3702,0.3387,56.62,26.225,25.72,0.0,33.63,52.82,185,14,185,4,0,0,4.19,open
pack_level,1040,1,3,3,none,130.75,27.262,85.3566,0.3312,53.76,26.202,25.69,0.0,37.86,65.46,140,24,423,9,0,2,4.31,open
pack_level,1041,1,3,3,none,110.64,23.275,72.8775,0.3527,56.14,26.221,25.7,0.0,40.74,69.42,166,19,142,3,0,0,4.18,open
pack_level,1042,1,3,3,none,118.24,23.83,77.91,0.3462,55.18,26.213,25.72,0.0,48.19,67.88,164,17,391,7,0,2,3.19,open
pack_level,1043,0,1,3,timeout,240.0,9.385,155.782,0.1951,40.29,26.118,25.73,0.0,50.76,67.86,64,15,103,39,0,0,20.3,dead_end
pack_level,1044,1,3,3,none,111.52,23.297,73.1452,0.3441,56.09,26.221,25.7,0.0,52.7,86.95,161,17,201,5,0,0,4.6,open
