variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
full,1000,1,3,3,none,146.83,28.866,95.9871,0.4655,51.82,26.188,25.7,0.4,55.49,87.33,143,20,541,10,0,3,2.73,open
full,1001,1,3,3,none,213.48,38.106,140.4802,0.6262,43.34,26.141,25.72,0.586,59.48,99.86,145,24,830,20,0,18,4.43,open
full,1002,1,3,3,none,179.76,29.332,118.3402,0.4568,47.56,26.161,25.71,0.493,50.94,84.74,141,13,588,15,0,0,3.73,open
full,1003,1,3,3,none,140.97,27.444,92.7108,0.4133,52.43,26.192,25.7,0.386,50.45,83.87,152,15,292,9,0,0,4.3,open
full,1004,1,3,3,none,141.02,27.955,92.6303,0.4037,52.44,26.192,25.72,0.386,50.86,83.59,144,21,378,10,0,0,2.78,open
full,1005,1,3,3,none,141.18,27.169,92.1866,0.3703,52.53,26.193,25.72,0.384,50.05,85.64,138,20,535,9,0,0,2.5,open
full,1006,1,3,3,none,182.06,33.713,120.1703,0.5775,47.21,26.16,25.71,0.501,50.68,84.5,160,31,485,13,0,26,5.74,open
full,1007,1,3,3,none,154.83,29.844,102.1449,0.4244,50.64,26.178,25.71,0.426,51.88,86.31,134,17,484,11,0,0,3.02,open
full,1008,1,3,3,none,149.43,27.662,97.5818,0.4393,51.51,26.185,25.7,0.406,53.93,84.4,151,23,567,10,0,3,3.22,open
full,1009,1,3,3,none,219.62,36.215,144.1444,0.563,42.64,26.138,25.72,0.601,52.09,83.59,159,24,660,19,0,7,5.6,open
full,1010,1,3,3,none,156.47,32.373,101.9833,0.4251,50.67,26.178,25.7,0.425,51.18,69.92,140,13,641,10,0,0,2.97,open
full,1011,1,3,3,none,207.76,41.946,136.0954,0.5631,44.17,26.145,25.71,0.568,51.8,72.23,138,34,422,18,0,0,4.93,open
full,1012,1,3,3,none,162.12,33.321,105.6985,0.4515,49.96,26.173,25.7,0.44,50.03,83.51,137,25,647,13,0,0,3.63,open
full,1013,1,3,3,none,178.11,33.85,116.659,0.5014,47.88,26.168,25.71,0.486,51.36,84.37,152,24,740,14,0,15,4.94,dead_end
full,1014,1,3,3,none,163.11,31.131,106.5662,0.5079,49.8,26.177,25.71,0.444,49.48,80.49,137,26,568,12,0,0,3.78,dead_end
full,1015,1,3,3,none,142.72,28.426,93.2752,0.4897,52.33,26.191,25.72,0.388,48.38,74.12,135,22,483,10,0,0,3.37,open
