variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
full,1000,1,3,3,none,119.31,24.941,78.5978,0.4244,55.12,26.218,25.71,0.327,55.47,84.51,154,16,502,6,0,0,2.67,dead_end
full,1001,1,3,3,none,151.27,29.256,98.8943,0.4725,51.26,26.183,25.7,0.412,50.45,80.98,138,29,486,11,0,0,3.47,open
full,1002,1,3,3,none,192.64,34.032,125.8847,0.5091,46.12,26.154,25.73,0.525,54.97,81.22,139,31,665,16,0,0,3.87,open
full,1003,1,3,3,none,210.16,36.371,137.4878,0.5025,43.91,26.144,25.71,0.574,54.43,68.98,138,31,747,19,0,0,4.48,open
full,1004,1,3,3,none,156.7,30.79,103.1336,0.4857,50.45,26.176,25.71,0.43,45.64,68.38,141,17,576,12,0,0,3.47,open
full,1005,1,3,3,none,148.21,30.381,97.2049,0.4998,51.58,26.19,25.7,0.405,46.64,69.58,137,18,367,11,0,0,4.29,dead_end
full,1006,1,3,3,none,179.16,36.172,117.2159,0.5243,47.77,26.162,25.71,0.489,68.85,108.19,136,16,516,15,0,0,4.94,open
full,1007,1,3,3,none,151.47,26.886,99.3877,0.4611,51.17,26.182,25.7,0.414,69.41,124.32,161,28,576,9,0,18,4.49,open
full,1008,1,3,3,none,177.21,33.177,115.9537,0.4783,48.01,26.169,25.71,0.483,72.8,108.8,143,20,630,14,0,0,3.67,dead_end
full,1009,1,3,3,none,158.34,30.138,103.9392,0.4102,50.29,26.175,25.72,0.433,74.19,111.58,137,24,452,12,0,0,3.38,open
full,1010,1,3,3,none,132.41,25.253,86.7448,0.4051,53.57,26.206,25.71,0.361,44.47,106.68,160,14,483,7,0,0,3.17,dead_end
full,1011,1,3,3,none,166.69,32.276,110.3919,0.4471,49.07,26.168,25.7,0.46,40.16,64.37,137,16,479,12,0,0,4.35,open
full,1012,1,3,3,none,159.42,32.283,103.7559,0.5409,50.34,26.176,25.7,0.432,47.25,79.92,137,19,470,12,0,0,4.32,open
full,1013,1,3,3,none,133.48,25.757,87.2755,0.4323,53.47,26.2,25.71,0.363,52.81,105.05,134,20,524,8,0,0,2.52,open
full,1014,1,3,3,none,158.84,29.991,104.2934,0.4217,50.23,26.174,25.72,0.435,44.48,71.11,138,20,524,12,0,0,2.37,open
full,1015,1,3,3,none,192.9,36.09,125.8167,0.4629,46.13,26.154,25.71,0.525,51.25,100.03,151,26,566,17,0,5,5.3,open
full,1016,1,3,3,none,143.28,27.426,93.312,0.4091,52.32,26.191,25.71,0.389,60.22,135.76,137,17,552,9,0,0,2.7,open
full,1017,1,3,3,none,160.59,29.632,104.8276,0.4016,50.13,26.174,25.71,0.437,78.24,130.67,143,16,633,12,0,0,3.16,open
full,1018,1,3,3,none,175.46,32.256,114.6794,0.3568,48.24,26.165,25.7,0.478,62.44,126.95,147,22,408,13,0,0,4.47,open
full,1019,1,3,3,none,202.17,41.121,131.9507,0.6279,44.97,26.148,25.72,0.55,44.87,74.67,139,25,597,18,0,1,5.88,open
