variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions
full,1000,1,3,3,none,106.41,25.849,70.6703,0.4224,56.62,26.23,25.69,0.294,203.68,376.21,147,27,181,4,0
full,1001,1,3,3,none,104.32,25.285,69.3702,0.3867,56.86,26.228,25.69,0.289,230.98,354.04,135,27,159,4,0
full,1002,1,3,3,none,92.62,22.729,61.8399,0.3883,58.3,26.239,25.69,0.257,212.91,365.76,154,21,183,1,0
full,1003,1,3,3,none,106.48,24.583,70.6731,0.4006,56.62,26.226,25.69,0.294,221.73,326.22,157,21,135,4,0
full,1004,0,1,3,collision,41.8,9.774,27.9827,0.1595,64.71,26.29,25.77,0.116,197.44,312.47,52,13,67,3,1
full,1005,1,3,3,none,106.24,24.102,70.3701,0.3763,56.68,26.226,25.69,0.293,269.16,406.52,150,25,174,3,0
full,1006,1,3,3,none,100.19,25.38,66.7264,0.3637,57.37,26.231,25.69,0.278,261.3,414.54,156,26,188,3,0
full,1007,1,3,3,none,108.29,26.634,72.0355,0.4314,56.36,26.223,25.69,0.3,243.12,359.36,146,32,190,4,0
full,1008,1,3,3,none,111.51,26.262,74.6279,0.4277,55.87,26.225,25.68,0.311,216.88,374.96,151,46,155,4,0
full,1009,1,3,3,none,96.37,24.243,64.456,0.3777,57.8,26.235,25.69,0.268,221.61,359.34,143,23,137,3,0
full,1010,1,3,3,none,106.7,25.236,70.6258,0.3945,56.63,26.225,25.69,0.294,223.63,374.96,148,27,172,4,0
full,1011,1,3,3,none,104.2,24.822,69.2701,0.3479,56.88,26.228,25.69,0.288,224.5,343.71,151,24,139,4,0
full,1012,1,3,3,none,89.97,23.034,60.1656,0.3927,58.62,26.242,25.69,0.25,242.28,375.0,140,18,107,1,0
full,1013,1,3,3,none,101.06,24.682,67.4168,0.3822,57.24,26.23,25.69,0.281,232.62,367.93,146,25,142,3,0
full,1014,1,3,3,none,93.53,22.634,62.1292,0.343,58.24,26.239,25.69,0.259,258.86,359.34,141,15,125,0,0
full,1015,1,3,3,none,97.59,24.714,64.6645,0.354,57.76,26.235,25.69,0.269,265.93,382.93,150,22,120,2,0
full,1016,1,3,3,none,108.85,24.964,72.3148,0.3867,56.31,26.223,25.7,0.301,214.26,359.34,142,42,202,5,0
full,1017,1,3,3,none,104.77,24.285,70.0903,0.4153,56.73,26.226,25.71,0.292,236.07,367.13,151,37,240,2,0
full,1018,1,3,3,none,92.9,22.808,61.7308,0.3778,58.32,26.239,25.69,0.257,257.07,374.96,145,17,158,0,0
full,1019,1,3,3,none,107.78,25.478,71.9256,0.4349,56.38,26.224,25.71,0.299,231.85,383.4,147,26,123,3,0
full,1020,1,3,3,none,105.05,25.003,70.4073,0.4049,56.67,26.226,25.69,0.293,226.34,367.32,150,33,149,2,0
full,1021,1,3,3,none,101.11,23.986,66.6903,0.3196,57.37,26.236,25.69,0.278,263.79,400.32,142,26,195,3,0
full,1022,1,3,3,none,101.46,24.714,67.9166,0.4337,57.15,26.23,25.72,0.283,236.47,388.13,150,26,165,3,0
full,1023,1,3,3,none,110.54,25.226,74.0401,0.4164,55.98,26.22,25.69,0.308,259.45,388.62,145,42,154,5,0
full,1024,1,3,3,none,101.8,24.643,67.7052,0.4342,57.19,26.23,25.69,0.282,235.85,367.62,148,27,125,2,0
full,1025,1,3,3,none,100.15,26.237,67.1489,0.4273,57.29,26.231,25.69,0.279,251.03,374.96,150,36,154,2,0
full,1026,1,3,3,none,101.72,24.434,68.1611,0.4704,57.1,26.23,25.68,0.284,245.7,374.96,141,30,139,1,0
full,1027,1,3,3,none,109.05,24.234,73.094,0.4429,56.16,26.222,25.71,0.304,238.16,390.58,144,35,148,4,0
full,1028,1,3,3,none,107.58,25.904,71.8764,0.4129,56.39,26.224,25.69,0.299,256.59,382.3,154,29,168,4,0
full,1029,1,3,3,none,97.8,23.236,65.4462,0.3686,57.61,26.233,25.69,0.272,237.81,377.2,153,21,111,2,0
full,1030,1,3,3,none,96.18,23.649,64.2212,0.3981,57.85,26.235,25.73,0.267,260.24,374.96,148,23,135,2,0
full,1031,1,3,3,none,103.17,25.08,68.6934,0.3898,56.99,26.228,25.69,0.286,263.11,365.19,144,17,104,3,0
full,1032,1,3,3,none,93.41,24.073,61.9992,0.37,58.27,26.243,25.69,0.258,222.78,368.08,145,23,158,3,0
full,1033,1,3,3,none,102.06,24.851,67.4107,0.2993,57.24,26.23,25.7,0.281,275.56,392.79,144,31,161,5,0
full,1034,1,3,3,none,112.66,25.885,75.5884,0.4322,55.68,26.218,25.69,0.315,233.42,388.39,150,39,268,4,0
full,1035,0,2,3,collision,83.5,18.408,55.6626,0.2968,59.47,26.249,25.75,0.232,275.21,390.21,104,29,123,6,1
full,1036,1,3,3,none,104.74,25.372,70.507,0.4877,56.65,26.226,25.69,0.293,226.57,366.99,153,29,142,5,0
full,1037,1,3,3,none,106.53,25.178,70.8019,0.4299,56.6,26.225,25.69,0.295,219.81,324.07,144,31,117,5,0
full,1038,1,3,3,none,107.03,24.628,71.6145,0.4404,56.44,26.225,25.68,0.298,210.13,324.31,149,31,163,3,0
full,1039,1,3,3,none,102.06,24.224,67.9748,0.4116,57.13,26.23,25.69,0.283,184.08,296.69,144,29,137,3,0
