variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
full,1000,1,3,3,none,150.62,23.868,95.9387,0.303,51.81,26.187,25.66,0.4,30.05,46.85,142,17,227,6,0,0,4.39,open
full,1001,1,3,3,none,134.93,24.105,86.4823,0.3671,53.61,26.201,25.69,0.36,28.91,47.12,164,16,211,2,0,0,4.36,open
full,1002,1,3,3,none,136.82,22.373,86.792,0.2875,53.55,26.201,25.66,0.362,28.9,48.31,148,14,81,1,0,0,4.45,open
full,1003,1,3,3,none,128.94,23.251,82.6146,0.3319,54.35,26.207,25.66,0.344,29.25,51.67,145,21,203,3,0,0,4.12,open
full,1004,1,3,3,none,129.74,23.027,83.5355,0.363,54.17,26.206,25.67,0.348,28.38,48.19,159,20,139,3,0,0,4.5,open
full,1005,1,3,3,none,149.94,23.663,96.2176,0.3114,51.76,26.187,25.68,0.401,28.8,42.47,172,20,147,5,0,0,4.51,open
full,1006,1,3,3,none,141.02,23.234,90.1563,0.2935,52.91,26.196,25.66,0.376,29.56,41.9,154,13,135,4,0,0,4.82,open
full,1007,1,3,3,none,133.62,24.057,85.7668,0.3644,53.75,26.203,25.66,0.357,28.93,51.8,173,14,100,5,0,0,4.44,open
full,1008,1,3,3,none,138.81,24.005,88.6417,0.3097,53.2,26.203,25.68,0.369,28.73,45.38,159,16,146,5,0,0,5.2,dead_end
full,1009,1,3,3,none,139.54,23.625,89.4223,0.3423,53.05,26.197,25.66,0.373,27.36,41.79,160,18,286,5,0,0,3.78,open
full,1010,1,3,3,none,144.83,23.732,92.1839,0.3155,52.53,26.193,25.66,0.384,29.13,41.8,156,16,163,4,0,0,4.74,open
full,1011,1,3,3,none,133.92,23.488,86.2793,0.3809,53.65,26.202,25.66,0.359,29.21,50.15,171,18,90,4,0,0,4.67,open
full,1012,1,3,3,none,135.17,23.275,86.9492,0.3675,53.52,26.201,25.68,0.362,27.91,56.55,156,20,189,4,0,0,3.62,open
full,1013,1,3,3,none,144.63,23.651,92.2822,0.3169,52.51,26.193,25.67,0.385,29.95,51.71,138,14,204,5,0,0,4.52,open
