variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
pack_level,1000,1,3,3,none,130.03,22.61,83.2083,0.343,54.17,26.205,25.66,0.0,25.0,41.75,150,15,113,2,0,0,4.01,open
pack_level,1001,1,3,3,none,143.44,23.811,92.2443,0.3902,52.44,26.191,25.68,0.0,27.33,46.87,139,29,161,5,0,0,3.9,open
pack_level,1002,1,3,3,none,142.89,23.24,91.1941,0.3007,52.64,26.193,25.68,0.0,26.59,46.87,174,17,167,4,0,0,4.46,open
pack_level,1003,1,3,3,none,139.62,23.786,89.4685,0.3618,52.98,26.196,25.66,0.0,27.25,46.88,148,15,278,5,0,0,4.43,open
pack_level,1004,1,3,3,none,127.6,21.674,81.6966,0.3095,54.46,26.208,25.68,0.0,25.78,42.31,171,18,194,2,0,0,3.77,open
pack_level,1005,1,3,3,none,135.03,23.312,86.6198,0.3263,53.52,26.2,25.67,0.0,26.66,46.88,164,17,109,3,0,0,4.81,open
pack_level,1006,1,3,3,none,153.23,24.116,97.5557,0.3373,51.43,26.183,25.66,0.0,28.32,46.87,157,22,143,6,0,0,4.62,open
pack_level,1007,1,3,3,none,133.72,23.163,85.1573,0.3012,53.79,26.202,25.66,0.0,28.89,46.92,143,12,184,2,0,0,4.6,open
pack_level,1008,1,3,3,none,145.71,24.346,93.5004,0.3705,52.2,26.194,25.66,0.0,27.74,46.88,152,19,233,7,0,0,4.57,dead_end
pack_level,1009,1,3,3,none,133.95,23.09,85.8027,0.3266,53.67,26.201,25.67,0.0,37.2,94.5,153,15,180,3,0,0,4.41,open
pack_level,1010,1,3,3,none,152.72,23.383,97.1248,0.3004,51.51,26.184,25.66,0.0,50.39,117.32,161,16,256,5,0,0,4.83,open
pack_level,1011,1,3,3,none,133.64,23.312,85.2388,0.2884,53.78,26.202,25.67,0.0,50.08,78.37,150,12,174,3,0,0,4.76,open
pack_level,1012,1,3,3,none,137.42,23.052,87.9642,0.3118,53.26,26.198,25.68,0.0,48.9,80.87,160,14,147,3,0,0,4.37,open
pack_level,1013,1,3,3,none,135.02,23.171,86.1941,0.3509,53.6,26.201,25.66,0.0,46.56,78.12,168,18,188,3,0,0,4.75,open
pack_level,1014,1,3,3,none,140.92,23.854,89.9544,0.3742,52.88,26.195,25.66,0.0,50.15,96.89,155,19,92,3,0,0,5.41,open
pack_level,1015,1,3,3,none,142.73,23.192,90.9973,0.3409,52.68,26.193,25.66,0.0,47.94,93.74,152,19,189,3,0,5,4.38,open
pack_level,1016,1,3,3,none,155.34,24.695,100.0034,0.3538,50.96,26.179,25.67,0.0,45.81,78.1,154,28,191,7,0,0,4.01,open
pack_level,1017,1,3,3,none,125.21,23.198,80.5916,0.3687,54.67,26.214,25.67,0.0,46.58,78.08,154,14,94,3,0,0,4.47,dead_end
pack_level,1018,1,3,3,none,142.95,22.852,90.9003,0.325,52.7,26.193,25.66,0.0,47.9,78.09,138,14,134,2,0,0,4.46,open
pack_level,1019,1,3,3,none,136.45,23.141,86.9847,0.3171,53.45,26.199,25.66,0.0,47.31,97.7,161,15,129,2,0,0,4.86,open
pack_level,1020,1,3,3,none,140.85,23.711,89.8463,0.2857,52.9,26.195,25.66,0.0,47.02,78.14,157,12,157,4,0,0,4.58,open
pack_level,1021,1,3,3,none,125.32,23.23,80.5895,0.3983,54.67,26.209,25.66,0.0,46.59,73.94,145,19,210,3,0,0,4.24,open
pack_level,1022,1,3,3,none,168.82,24.892,108.5005,0.363,49.34,26.169,25.66,0.0,44.34,62.59,157,33,367,10,0,0,4.04,open
pack_level,1023,1,3,3,none,144.53,23.477,92.043,0.3499,52.48,26.192,25.66,0.0,45.52,234.85,145,20,58,3,0,0,4.97,open
pack_level,1024,1,3,3,none,136.62,22.92,86.9612,0.275,53.45,26.2,25.67,0.0,37.48,50.18,139,12,166,2,0,0,4.85,open
pack_level,1025,1,3,3,none,139.23,23.612,88.7586,0.3023,53.11,26.197,25.66,0.0,37.52,46.95,142,15,172,3,0,0,4.92,open
pack_level,1026,1,3,3,none,122.4,22.816,78.6983,0.3587,55.03,26.212,25.72,0.0,42.88,68.75,139,15,155,2,0,0,3.5,open
pack_level,1027,1,3,3,none,149.85,23.437,95.4267,0.3145,51.83,26.187,25.68,0.0,47.32,62.83,150,19,147,5,0,0,5.29,open
pack_level,1028,1,3,3,none,125.64,22.495,80.6119,0.3779,54.67,26.209,25.66,0.0,34.61,62.49,147,15,85,3,0,0,4.18,open
pack_level,1029,1,3,3,none,146.43,22.944,93.5319,0.312,52.2,26.189,25.66,0.0,37.6,46.99,158,19,131,2,0,0,5.01,open
pack_level,1030,1,3,3,none,141.92,23.308,90.4183,0.303,52.79,26.194,25.67,0.0,31.62,50.08,143,14,107,4,0,0,4.87,open
pack_level,1031,1,3,3,none,136.14,23.079,86.7621,0.3254,53.49,26.2,25.66,0.0,29.87,50.05,146,14,104,3,0,0,4.63,open
pack_level,1032,1,3,3,none,125.14,23.414,80.662,0.3466,54.65,26.209,25.66,0.0,31.13,50.08,150,20,274,4,0,0,3.38,open
pack_level,1033,1,3,3,none,150.34,23.535,95.9052,0.3343,51.74,26.186,25.66,0.0,41.53,87.55,154,24,341,6,0,7,4.07,open
pack_level,1034,1,3,3,none,146.13,23.224,92.8159,0.2656,52.33,26.191,25.66,0.0,95.13,166.47,145,15,106,3,0,0,4.85,open
pack_level,1035,0,1,3,timeout,240.0,21.121,150.2981,0.6234,41.35,26.133,25.67,0.0,25.94,32.21,40,77,326,38,0,0,1.64,open
pack_level,1036,1,3,3,none,135.19,22.203,86.4842,0.3643,53.55,26.2,25.68,0.0,27.33,46.88,169,13,136,1,0,0,4.41,open
pack_level,1037,1,3,3,none,164.23,24.465,104.4956,0.2867,50.1,26.173,25.67,0.0,26.49,46.84,134,20,209,7,0,0,4.91,open
pack_level,1038,0,0,3,timeout,240.0,13.546,152.8082,0.3456,40.87,26.128,25.73,0.0,41.35,53.51,38,17,84,39,0,0,1.38,open
pack_level,1039,1,3,3,none,143.72,23.312,91.6024,0.3161,52.57,26.192,25.68,0.0,27.83,46.87,155,19,126,4,0,0,4.81,open
pack_level,1040,1,3,3,none,138.14,22.979,87.9748,0.3287,53.26,26.198,25.66,0.0,34.72,59.27,150,20,159,2,0,0,4.92,open
pack_level,1041,1,3,3,none,129.93,22.349,83.2266,0.3642,54.17,26.205,25.66,0.0,26.15,43.53,166,13,60,1,0,0,4.47,open
pack_level,1042,0,0,3,timeout,240.0,7.635,155.3026,0.1661,40.38,26.122,25.71,0.0,29.26,43.47,39,2,2246,41,0,0,0.64,open
pack_level,1043,1,3,3,none,138.13,23.831,88.0747,0.3074,53.24,26.198,25.66,0.0,27.41,46.87,148,13,212,5,0,0,3.73,open
pack_level,1044,1,3,3,none,129.46,21.51,82.7093,0.3297,54.27,26.206,25.68,0.0,62.61,124.99,183,17,135,1,0,0,4.18,open
pack_level,1045,1,3,3,none,135.74,23.262,86.757,0.3825,53.49,26.2,25.66,0.0,52.29,141.12,156,18,298,4,0,0,4.3,open
pack_level,1046,1,3,3,none,133.24,23.539,85.4786,0.3566,53.73,26.202,25.69,0.0,27.52,46.88,143,16,167,4,0,0,4.05,open
pack_level,1047,1,3,3,none,135.63,23.207,86.6031,0.372,53.52,26.2,25.66,0.0,32.87,52.72,166,15,73,2,0,0,4.51,open
pack_level,1048,1,3,3,none,137.32,23.005,87.7863,0.339,53.3,26.198,25.7,0.0,34.38,47.7,158,24,261,3,0,0,4.09,open
pack_level,1049,1,3,3,none,130.61,23.015,83.4824,0.3275,54.11,26.209,25.66,0.0,34.13,48.4,168,12,144,3,0,0,4.69,dead_end
pack_level,1050,1,3,3,none,140.12,22.759,88.9963,0.2982,53.06,26.196,25.66,0.0,34.53,47.56,146,16,159,2,0,0,4.88,open
pack_level,1051,1,3,3,none,151.22,23.93,96.9706,0.3565,51.54,26.184,25.66,0.0,33.51,53.96,156,19,115,6,0,0,5.07,open
pack_level,1052,1,3,3,none,134.15,23.076,85.5233,0.3398,53.73,26.202,25.66,0.0,30.21,48.15,145,16,63,2,0,0,4.5,open
pack_level,1053,1,3,3,none,136.02,22.502,86.5426,0.2989,53.53,26.2,25.66,0.0,30.96,46.87,153,13,68,3,0,0,4.66,open
pack_level,1054,1,3,3,none,118.03,21.741,75.4026,0.3198,55.66,26.218,25.66,0.0,34.35,198.9,153,14,182,1,0,0,3.89,open
pack_level,1055,1,3,3,none,133.04,23.424,85.1422,0.3124,53.8,26.202,25.67,0.0,29.32,46.87,140,16,173,4,0,0,4.25,open
pack_level,1056,1,3,3,none,146.03,24.004,94.4255,0.3847,52.03,26.188,25.69,0.0,30.57,46.88,161,29,296,6,0,0,3.83,open
pack_level,1057,1,3,3,none,136.94,22.888,86.9925,0.2975,53.45,26.199,25.67,0.0,32.16,46.87,154,13,165,2,0,0,4.82,open
pack_level,1058,1,3,3,none,124.54,23.216,80.0117,0.3395,54.78,26.21,25.67,0.0,33.59,46.87,145,17,167,2,0,0,4.19,open
pack_level,1059,1,3,3,none,140.71,24.245,90.8465,0.3564,52.71,26.198,25.66,0.0,31.59,46.88,163,21,190,7,0,0,3.82,dead_end
pack_level,1060,1,3,3,none,138.13,23.647,88.3131,0.3626,53.19,26.197,25.67,0.0,26.69,46.87,138,15,160,4,0,0,4.39,open
pack_level,1061,1,3,3,none,135.54,22.624,87.2203,0.4517,53.41,26.199,25.7,0.0,26.53,46.87,169,26,115,1,0,0,5.24,open
pack_level,1062,1,3,3,none,144.23,23.552,91.7252,0.2904,52.54,26.192,25.66,0.0,25.75,31.33,145,13,233,5,0,0,4.42,open
pack_level,1063,1,3,3,none,146.81,23.628,94.0236,0.3068,52.1,26.193,25.66,0.0,25.89,40.67,159,15,136,5,0,0,4.87,dead_end
pack_level,1064,1,3,3,none,135.24,24.087,87.154,0.4237,53.42,26.199,25.69,0.0,33.66,47.26,144,19,186,6,0,0,4.1,open
pack_level,1065,1,3,3,none,133.93,23.136,85.5517,0.2851,53.72,26.202,25.66,0.0,33.12,46.88,159,13,218,3,0,0,3.17,open
pack_level,1066,1,3,3,none,146.03,24.352,93.4693,0.3374,52.21,26.19,25.66,0.0,32.76,46.87,148,20,164,6,0,0,4.78,open
pack_level,1067,1,3,3,none,124.53,22.896,80.2149,0.416,54.74,26.21,25.66,0.0,33.05,46.87,167,17,77,1,0,0,4.66,open
pack_level,1068,0,2,3,timeout,240.0,23.265,150.1423,0.3111,41.37,26.13,25.73,0.0,31.74,46.87,111,13,118,32,0,0,2.96,open
pack_level,1069,1,3,3,none,135.91,23.489,86.944,0.333,53.46,26.204,25.68,0.0,27.63,46.87,157,15,236,4,0,1,3.85,dead_end
pack_level,1070,1,3,3,none,127.54,23.161,81.7849,0.3716,54.44,26.207,25.66,0.0,25.12,39.24,151,20,136,3,0,0,3.97,open
pack_level,1071,0,2,3,timeout,240.0,23.134,154.2351,0.3769,40.59,26.123,25.74,0.0,27.08,31.5,138,19,1368,27,0,0,3.15,open
pack_level,1072,1,3,3,none,133.14,22.627,84.9,0.3382,53.84,26.203,25.66,0.0,26.88,46.9,163,11,90,1,0,0,4.39,open
pack_level,1073,1,3,3,none,136.42,22.574,87.4433,0.3887,53.36,26.199,25.67,0.0,25.59,31.33,161,17,93,2,0,0,4.51,open
pack_level,1074,1,3,3,none,138.93,22.61,88.3645,0.3225,53.18,26.197,25.66,0.0,27.47,32.85,156,15,118,1,0,0,4.67,open
