variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
full,1000,1,3,3,none,152.43,23.312,97.4264,0.376,51.53,26.185,25.66,0.406,26.44,46.87,148,26,111,7,0,0,4.54,open
full,1001,1,3,3,none,143.75,23.254,91.5935,0.3451,52.64,26.194,25.66,0.382,26.63,46.79,157,14,142,3,0,0,4.36,open
full,1002,1,3,3,none,142.04,23.747,90.557,0.3176,52.84,26.195,25.66,0.377,24.91,44.15,150,18,147,5,0,0,4.37,open
full,1003,1,3,3,none,154.92,23.862,98.8136,0.2767,51.26,26.183,25.68,0.412,26.98,46.87,155,13,154,5,0,0,4.72,open
full,1004,1,3,3,none,140.81,23.052,89.7308,0.2952,52.99,26.201,25.66,0.374,29.61,46.9,162,17,189,3,0,0,4.67,dead_end
full,1005,1,3,3,none,147.83,23.582,94.9479,0.3464,52.0,26.189,25.66,0.396,28.89,46.88,140,21,124,5,0,0,4.79,open
full,1006,1,3,3,none,146.91,23.453,93.3773,0.2622,52.3,26.195,25.66,0.389,29.23,46.92,146,14,100,4,0,0,5.03,dead_end
full,1007,1,3,3,none,140.25,23.035,89.7193,0.3532,53.0,26.197,25.66,0.374,28.02,46.88,173,14,158,3,0,0,4.53,open
full,1008,1,3,3,none,133.55,22.809,85.5562,0.4301,53.79,26.203,25.66,0.356,27.9,46.91,147,18,95,2,0,0,4.38,open
full,1009,1,3,3,none,138.32,23.497,88.2591,0.3413,53.27,26.199,25.68,0.368,32.22,46.87,143,13,142,3,0,0,4.5,open
full,1010,1,3,3,none,139.52,23.537,89.7415,0.3118,52.99,26.197,25.66,0.374,30.45,46.91,158,17,155,5,0,0,4.58,open
full,1011,1,3,3,none,144.13,23.874,92.9623,0.3841,52.38,26.192,25.66,0.387,27.52,62.49,162,18,115,5,0,0,4.57,open
full,1012,1,3,3,none,141.84,23.996,90.8852,0.3491,52.77,26.195,25.68,0.379,26.37,46.87,161,16,156,6,0,0,4.32,open
full,1013,1,3,3,none,148.73,23.08,94.5743,0.2689,52.07,26.189,25.66,0.394,25.3,46.79,165,13,74,3,0,0,4.84,open
full,1014,1,3,3,none,116.14,22.408,75.1051,0.3987,55.78,26.219,25.7,0.313,25.65,36.89,149,16,133,1,0,0,3.73,open
full,1015,1,3,3,none,143.32,23.883,91.7111,0.3167,52.61,26.194,25.66,0.382,23.61,34.74,163,17,137,6,0,0,4.2,open
full,1016,1,3,3,none,143.12,23.266,91.9054,0.3085,52.58,26.193,25.67,0.383,25.56,33.97,172,19,152,5,0,0,4.39,open
full,1017,1,3,3,none,140.83,23.85,89.8586,0.3292,52.97,26.196,25.66,0.374,25.1,46.87,144,15,114,4,0,0,4.55,open
full,1018,1,3,3,none,143.34,22.62,91.4895,0.3557,52.66,26.194,25.66,0.381,23.22,32.11,168,22,147,3,0,0,4.18,open
full,1019,1,3,3,none,138.14,23.516,88.3916,0.3236,53.25,26.199,25.68,0.368,25.66,42.24,152,17,121,3,0,0,4.55,open
full,1020,1,3,3,none,129.65,23.09,83.2981,0.3623,54.22,26.206,25.66,0.347,24.12,46.87,152,16,161,4,0,0,4.45,open
full,1021,1,3,3,none,142.63,23.593,91.6483,0.3394,52.63,26.194,25.66,0.382,24.9,34.77,169,16,146,5,0,0,4.44,open
full,1022,1,3,3,none,138.94,23.545,88.5552,0.3263,53.22,26.198,25.66,0.369,25.88,44.09,155,18,161,4,0,0,4.42,open
full,1023,1,3,3,none,145.44,23.123,92.4448,0.3103,52.48,26.192,25.66,0.385,25.35,31.33,143,14,140,4,0,0,5.02,open
full,1024,1,3,3,none,155.94,23.742,100.0941,0.3327,51.02,26.181,25.67,0.417,25.89,46.79,160,19,179,6,0,0,4.24,open
full,1025,1,3,3,none,149.14,23.761,95.2087,0.337,51.95,26.188,25.66,0.397,26.5,40.85,145,23,120,5,0,0,4.96,open
full,1026,1,3,3,none,131.42,23.26,84.1601,0.3217,54.05,26.205,25.66,0.351,25.86,31.33,148,14,124,3,0,0,4.59,open
full,1027,1,3,3,none,140.45,23.537,89.5428,0.2799,53.03,26.197,25.69,0.373,25.79,44.38,144,14,258,4,0,0,4.25,open
full,1028,1,3,3,none,141.42,23.058,89.8683,0.3028,52.97,26.196,25.66,0.374,24.42,31.33,147,18,186,2,0,0,5.26,open
full,1029,0,2,3,timeout,240.0,22.479,153.2869,0.3412,40.89,26.127,25.71,0.64,25.07,31.33,145,17,1377,26,0,0,3.84,open
full,1030,0,2,3,timeout,240.0,22.361,154.1247,0.3751,40.73,26.126,25.7,0.643,26.32,33.41,145,15,1367,26,0,0,3.46,open
full,1031,1,3,3,none,133.32,23.484,85.4191,0.3332,53.81,26.203,25.66,0.356,26.72,46.88,151,14,78,3,0,0,4.67,open
full,1032,1,3,3,none,148.94,23.742,95.4747,0.3166,51.9,26.188,25.67,0.398,25.62,38.6,150,16,143,5,0,0,4.63,open
full,1033,1,3,3,none,158.13,25.111,100.8258,0.3291,50.88,26.18,25.65,0.42,25.46,31.33,153,23,233,9,0,0,4.84,open
full,1034,1,3,3,none,127.44,23.465,81.9013,0.3506,54.48,26.208,25.67,0.341,25.83,36.74,165,14,176,3,0,0,4.13,open
full,1035,1,3,3,none,144.54,23.579,91.8174,0.3156,52.6,26.193,25.66,0.383,26.19,35.14,137,17,238,4,0,0,4.34,open
full,1036,1,3,3,none,117.64,21.839,75.4031,0.2719,55.72,26.218,25.67,0.314,25.75,35.69,171,21,256,2,0,0,3.64,open
full,1037,1,3,3,none,134.22,22.861,85.5227,0.3086,53.79,26.203,25.67,0.356,25.51,36.05,146,15,128,2,0,0,4.6,open
full,1038,1,3,3,none,134.24,21.969,86.1803,0.3166,53.67,26.202,25.66,0.359,25.6,36.29,172,13,143,3,0,0,3.85,open
full,1039,1,3,3,none,143.33,23.831,91.3278,0.2982,52.69,26.194,25.66,0.381,25.7,41.69,134,14,198,4,0,0,4.9,open
full,1040,1,3,3,none,140.13,24.046,89.5155,0.2968,53.03,26.197,25.66,0.373,26.15,31.89,145,14,123,5,0,0,4.53,open
full,1041,0,1,3,timeout,240.0,14.789,153.1254,0.3097,40.92,26.126,25.71,0.639,26.51,46.87,89,13,1834,34,0,0,1.97,open
