variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
no_energy,1000,1,3,3,none,147.9,24.492,96.1564,0.5169,51.79,26.187,25.79,0.4,38.14,47.07,158,22,160,7,0,0,4.12,open
no_energy,1001,1,3,3,none,149.64,23.929,96.3581,0.4438,51.75,26.186,25.7,0.401,27.02,46.87,170,15,139,6,0,0,4.64,open
no_energy,1002,1,3,3,none,129.91,23.82,83.8354,0.4306,54.13,26.21,25.71,0.349,26.65,41.24,164,13,85,4,0,0,4.37,dead_end
no_energy,1003,1,3,3,none,138.89,23.139,89.4563,0.371,53.05,26.197,25.68,0.373,26.06,36.74,176,13,312,5,0,0,4.28,open
no_energy,1004,1,3,3,none,152.75,24.142,98.8545,0.4814,51.27,26.183,25.67,0.412,27.69,46.87,163,14,276,7,0,0,4.11,open
no_energy,1005,1,3,3,none,135.44,23.349,86.9215,0.4132,53.54,26.201,25.67,0.362,28.03,46.87,151,15,87,3,0,0,4.49,open
no_energy,1006,1,3,3,none,138.65,24.223,90.1615,0.4705,52.92,26.196,25.67,0.375,27.16,46.87,174,18,181,6,0,0,4.19,open
no_energy,1007,1,3,3,none,130.44,22.868,83.3818,0.3915,54.21,26.206,25.67,0.347,29.73,46.88,143,16,154,2,0,0,4.56,open
no_energy,1008,1,3,3,none,131.03,23.498,84.6477,0.4535,53.97,26.204,25.66,0.352,26.62,31.26,153,20,123,4,0,0,4.38,open
no_energy,1009,1,3,3,none,139.03,22.508,88.9742,0.4383,53.16,26.198,25.66,0.37,27.3,43.32,172,15,141,4,0,0,4.47,open
no_energy,1010,1,3,3,none,132.22,24.118,85.4801,0.433,53.82,26.203,25.67,0.356,28.56,46.89,147,17,115,7,0,0,4.1,open
no_energy,1011,1,3,3,none,134.04,22.18,86.3167,0.5092,53.67,26.202,25.66,0.359,27.92,46.87,169,16,141,2,0,0,4.07,open
no_energy,1012,1,3,3,none,137.14,24.012,88.3742,0.4148,53.26,26.199,25.67,0.368,27.03,46.88,161,18,183,6,0,0,4.54,open
no_energy,1013,1,3,3,none,126.51,23.019,81.6354,0.418,54.55,26.214,25.66,0.34,27.93,46.87,169,15,96,2,0,0,4.15,dead_end
no_energy,1014,1,3,3,none,120.74,22.545,79.0337,0.5023,55.05,26.213,25.68,0.329,28.21,46.87,168,18,125,4,0,0,4.01,open
no_energy,1015,1,3,3,none,125.82,22.887,81.1619,0.4709,54.64,26.21,25.66,0.338,28.79,53.59,158,14,114,2,0,0,4.24,open
no_energy,1016,1,3,3,none,140.01,23.589,91.0561,0.4067,52.75,26.199,25.67,0.379,39.25,58.95,169,18,209,8,0,0,4.04,dead_end
no_energy,1017,1,3,3,none,126.91,24.098,82.2139,0.4703,54.44,26.213,25.66,0.342,38.16,47.61,155,17,113,4,0,0,4.19,dead_end
no_energy,1018,1,3,3,none,135.14,23.254,86.7749,0.4011,53.57,26.201,25.67,0.361,39.58,57.4,144,14,108,4,0,0,4.53,open
no_energy,1019,1,3,3,none,137.32,23.784,88.9069,0.4264,53.16,26.198,25.67,0.37,38.54,46.96,175,14,139,5,0,0,4.18,open
no_energy,1020,0,0,3,timeout,240.0,7.908,153.8824,0.2129,40.78,26.126,25.7,0.642,43.31,57.07,38,6,2133,39,0,0,0.95,open
no_energy,1021,1,3,3,none,124.95,23.236,80.6909,0.4855,54.73,26.21,25.67,0.336,28.92,50.0,174,17,64,2,0,0,4.37,open
no_energy,1022,1,3,3,none,122.13,23.402,79.0686,0.4317,55.03,26.213,25.67,0.329,27.21,46.88,157,16,85,3,0,0,4.4,open
