variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
no_regen,1000,1,3,3,none,151.94,23.427,97.3407,0.0,51.54,26.185,25.66,0.406,22.94,31.33,160,19,127,5,0,0,4.84,open
no_regen,1001,1,3,3,none,148.33,22.3,95.2547,0.0,51.94,26.188,25.67,0.397,24.57,31.82,169,33,141,4,0,0,4.19,open
no_regen,1002,1,3,3,none,141.32,24.296,90.5928,0.0,52.82,26.195,25.66,0.378,26.36,31.7,165,16,232,6,0,0,4.55,open
no_regen,1003,1,3,3,none,128.54,23.377,82.944,0.0,54.28,26.207,25.66,0.346,26.92,45.06,159,16,178,3,0,0,4.36,open
no_regen,1004,1,3,3,none,157.72,23.774,101.8671,0.0,50.68,26.178,25.66,0.425,24.45,38.51,184,24,313,6,0,0,4.77,open
no_regen,1005,1,3,3,none,153.91,23.51,98.3738,0.0,51.34,26.183,25.66,0.41,25.95,40.92,139,18,207,5,0,0,4.74,dead_end
no_regen,1006,1,3,3,none,140.11,23.157,89.5619,0.0,53.02,26.197,25.67,0.373,26.57,46.87,154,15,153,3,0,0,4.6,dead_end
no_regen,1007,1,3,3,none,135.54,23.223,86.9791,0.0,53.51,26.201,25.67,0.363,25.43,31.33,168,13,78,3,0,0,5.0,open
no_regen,1008,1,3,3,none,148.13,23.623,95.2596,0.0,51.93,26.188,25.66,0.397,25.79,46.86,156,21,179,5,0,0,4.7,open
no_regen,1009,1,3,3,none,144.92,23.83,92.9155,0.0,52.38,26.192,25.66,0.387,26.5,46.88,143,21,284,5,0,0,4.73,open
no_regen,1010,1,3,3,none,120.85,22.673,77.8977,0.0,55.23,26.214,25.66,0.325,27.52,45.46,147,15,78,1,0,0,3.82,open
no_regen,1011,1,3,3,none,142.12,23.71,90.9497,0.0,52.75,26.195,25.66,0.379,37.26,48.15,152,14,155,4,0,0,4.58,open
no_regen,1012,1,3,3,none,146.44,23.375,93.6346,0.0,52.24,26.19,25.66,0.39,38.25,59.79,161,14,128,3,0,0,4.46,open
no_regen,1013,1,3,3,none,129.92,23.137,83.2031,0.0,54.23,26.206,25.66,0.347,37.23,51.25,143,15,228,3,0,0,4.36,open
no_regen,1014,1,3,3,none,161.35,24.443,103.7682,0.0,50.32,26.175,25.66,0.433,37.22,46.96,153,21,285,9,0,0,4.45,open
no_regen,1015,1,3,3,none,143.42,23.722,91.6686,0.0,52.62,26.193,25.66,0.382,38.36,59.15,143,16,254,5,0,0,4.56,open
no_regen,1016,1,3,3,none,163.34,24.11,104.7923,0.0,50.12,26.174,25.67,0.437,39.17,58.79,155,17,147,7,0,0,4.56,open
no_regen,1017,1,3,3,none,133.14,23.081,85.9487,0.0,53.7,26.202,25.66,0.358,39.75,68.74,153,18,102,2,0,0,4.82,open
no_regen,1018,0,0,3,timeout,240.0,10.535,153.8858,0.0,40.77,26.129,25.69,0.642,44.41,62.51,38,35,111,40,0,0,0.72,open
no_regen,1019,0,0,3,timeout,240.0,7.148,155.0787,0.0,40.54,26.124,25.71,0.648,43.32,53.33,38,1,2251,40,0,0,0.67,open
