variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
speed_only,1000,0,0,3,timeout,240.0,9.064,155.0937,0.2715,40.56,26.125,25.7,0.647,28.86,33.29,38,4,2214,41,0,1,0.8,open
speed_only,1001,1,3,3,none,139.17,23.858,91.1664,0.7894,52.79,26.195,25.77,0.378,26.07,38.68,168,25,137,4,0,13,4.84,open
speed_only,1002,1,3,3,none,116.53,23.469,76.6192,0.7153,55.55,26.217,25.67,0.318,27.11,46.89,170,16,87,3,0,0,3.37,open
speed_only,1003,1,3,3,none,119.74,23.023,77.8837,0.6216,55.29,26.215,25.67,0.323,26.95,46.87,158,19,152,2,0,1,4.4,open
speed_only,1004,1,3,3,none,130.94,24.412,85.6988,0.7346,53.82,26.203,25.67,0.356,28.1,46.87,155,18,91,7,0,0,4.89,open
speed_only,1005,1,3,3,none,126.62,23.2,82.2874,0.6662,54.47,26.208,25.67,0.341,33.76,46.95,155,18,137,5,0,0,4.62,open
speed_only,1006,1,3,3,none,118.54,23.762,77.7511,0.7389,55.33,26.215,25.67,0.322,27.27,46.79,182,14,154,4,0,0,3.98,open
speed_only,1007,1,3,3,none,123.14,23.058,80.3103,0.7896,54.86,26.211,25.67,0.333,27.7,46.87,159,14,67,3,0,0,4.55,open
speed_only,1008,1,3,3,none,108.03,22.863,70.9872,0.6976,56.62,26.226,25.67,0.294,26.02,46.87,160,12,99,1,0,0,3.75,open
speed_only,1009,1,3,3,none,130.03,23.36,85.4026,0.7802,53.88,26.204,25.68,0.354,26.81,46.87,171,22,187,4,0,11,4.38,open
speed_only,1010,0,0,3,timeout,240.0,8.116,156.3882,0.3007,40.31,26.122,25.72,0.653,30.57,46.87,38,5,2207,40,0,0,0.69,open
speed_only,1011,1,3,3,none,128.95,23.219,83.0771,0.6017,54.31,26.207,25.67,0.345,26.92,38.97,159,17,115,3,0,0,4.72,open
speed_only,1012,0,0,3,timeout,240.0,7.958,155.5736,0.2919,40.46,26.124,25.75,0.649,29.58,46.86,39,3,2253,40,0,19,1.31,open
speed_only,1013,1,3,3,none,125.83,23.94,82.6948,0.7803,54.4,26.208,25.67,0.343,27.18,39.65,157,18,131,6,0,0,4.29,open
speed_only,1014,1,3,3,none,150.54,23.693,98.7631,0.7016,51.33,26.183,25.67,0.41,26.9,46.87,173,19,353,8,0,1,4.48,open
speed_only,1015,1,3,3,none,125.23,22.516,81.2571,0.6737,54.66,26.21,25.66,0.337,28.13,46.87,164,14,88,1,0,0,4.42,open
speed_only,1016,1,3,3,none,120.67,23.194,79.0097,0.7854,55.11,26.213,25.74,0.327,25.82,46.87,171,16,120,2,0,0,4.84,open
speed_only,1017,1,3,3,none,120.53,23.126,78.8531,0.7249,55.12,26.214,25.67,0.327,25.95,46.87,175,13,112,3,0,0,3.62,open
speed_only,1018,1,3,3,none,113.22,22.722,73.8127,0.7114,56.09,26.221,25.67,0.306,29.7,46.87,155,17,138,2,0,0,4.25,open
speed_only,1019,0,0,3,timeout,240.0,7.956,155.4394,0.3042,40.49,26.124,25.71,0.649,29.19,47.04,38,6,2142,40,0,0,0.81,open
speed_only,1020,0,0,3,timeout,240.0,9.433,154.9917,0.2305,40.57,26.124,25.72,0.647,35.56,49.24,38,2,1835,41,0,0,0.54,open
speed_only,1021,1,3,3,none,117.03,23.248,76.7236,0.7315,55.53,26.217,25.67,0.318,29.67,48.51,175,15,120,3,0,0,3.33,open
speed_only,1022,0,1,3,timeout,240.0,15.705,155.8974,0.4973,40.42,26.124,25.7,0.65,27.28,46.97,100,9,1768,34,0,0,2.96,open
speed_only,1023,1,3,3,none,164.92,23.429,108.3938,0.943,49.51,26.17,25.66,0.45,24.79,46.87,186,16,148,2,0,0,4.9,open
speed_only,1024,1,3,3,none,131.25,24.25,85.3969,0.7406,53.89,26.204,25.67,0.354,25.65,42.74,160,23,179,3,0,0,4.77,open
speed_only,1025,1,3,3,none,122.95,23.637,80.3864,0.7144,54.83,26.211,25.67,0.333,26.54,46.86,156,17,111,4,0,0,3.95,open
speed_only,1026,1,3,3,none,116.44,23.134,76.1311,0.6794,55.64,26.218,25.67,0.316,24.99,31.36,148,20,118,3,0,0,4.08,open
speed_only,1027,0,0,3,timeout,240.0,10.535,168.707,0.6348,37.99,26.079,25.88,0.704,29.6,46.82,38,6,889,40,0,0,15.92,dead_end
speed_only,1028,0,2,3,timeout,240.0,23.155,155.0221,0.6983,40.62,26.126,25.72,0.646,26.16,41.93,144,12,1453,30,0,0,3.53,open
speed_only,1029,1,3,3,none,124.23,22.612,81.1048,0.7157,54.7,26.21,25.67,0.336,28.04,46.87,165,17,166,4,0,0,4.47,open
speed_only,1030,1,3,3,none,227.55,24.982,148.6862,0.8231,41.83,26.134,25.68,0.619,26.72,46.86,187,19,1105,23,0,0,3.58,open
speed_only,1031,1,3,3,none,126.65,24.368,83.085,0.8268,54.33,26.207,25.67,0.344,26.38,46.83,153,23,187,6,0,0,4.37,open
speed_only,1032,1,3,3,none,128.21,23.769,84.1394,0.7601,54.12,26.21,25.67,0.349,27.94,46.85,173,19,172,6,0,0,3.88,dead_end
speed_only,1033,1,3,3,none,125.61,23.876,83.2042,0.8337,54.31,26.212,25.67,0.345,26.64,46.83,146,21,212,6,0,0,3.74,dead_end
speed_only,1034,1,3,3,none,117.32,23.466,76.5323,0.6835,55.56,26.217,25.67,0.317,29.01,46.87,150,16,108,3,0,0,4.13,open
speed_only,1035,0,2,3,timeout,240.0,16.353,155.2578,0.5389,40.55,26.124,25.7,0.647,86.25,193.26,123,20,233,31,0,0,17.2,dead_end
speed_only,1036,1,3,3,none,118.42,22.639,77.894,0.7786,55.32,26.215,25.67,0.323,76.01,149.94,168,15,94,2,0,0,4.21,open
speed_only,1037,1,3,3,none,108.65,22.425,72.1904,0.9466,56.42,26.224,25.68,0.298,28.07,46.87,168,14,110,2,0,0,3.95,open
speed_only,1038,1,3,3,none,114.14,23.05,74.1022,0.5553,56.01,26.221,25.68,0.308,61.28,136.83,163,18,147,2,0,0,4.58,open
speed_only,1039,0,2,3,timeout,240.0,23.353,149.9261,0.5719,41.57,26.135,25.64,0.625,29.2,51.5,110,24,1845,34,0,0,2.15,open
speed_only,1040,0,1,3,timeout,240.0,15.051,155.9424,0.4725,40.41,26.124,25.7,0.65,28.17,46.95,102,10,1777,34,0,0,2.11,dead_end
speed_only,1041,0,2,3,timeout,240.0,16.291,158.3643,0.576,39.97,26.116,25.75,0.66,28.28,46.87,109,18,1597,31,0,0,4.0,open
speed_only,1042,1,3,3,none,178.33,24.018,117.3387,0.9023,47.82,26.162,25.68,0.488,27.45,46.88,170,25,620,14,0,0,4.2,open
speed_only,1043,1,3,3,none,111.22,22.68,72.6309,0.6621,56.31,26.223,25.66,0.301,27.08,46.88,165,17,101,1,0,0,3.96,open
speed_only,1044,1,3,3,none,109.43,22.876,71.7207,0.7002,56.48,26.224,25.67,0.297,26.86,32.05,150,18,135,2,0,0,4.03,open
speed_only,1045,0,0,3,timeout,240.0,11.79,162.8612,0.7933,39.1,26.108,25.71,0.679,29.19,31.26,38,13,1610,40,0,0,10.52,open
speed_only,1046,1,3,3,none,107.59,23.547,70.4129,0.6064,56.72,26.226,25.76,0.292,27.62,46.87,182,15,168,3,0,0,4.32,open
speed_only,1047,1,3,3,none,118.33,23.541,77.2077,0.7383,55.45,26.216,25.67,0.32,27.01,36.92,143,18,77,3,0,0,4.51,open
speed_only,1048,1,3,3,none,141.02,23.168,92.1809,0.7598,52.6,26.193,25.68,0.383,28.41,46.87,156,15,303,5,0,8,4.52,open
speed_only,1049,1,3,3,none,129.42,23.632,84.3124,0.6611,54.07,26.205,25.67,0.35,27.58,46.87,157,20,116,4,0,0,4.22,open
speed_only,1050,1,3,3,none,116.82,23.849,77.6247,0.8545,55.36,26.216,25.66,0.322,27.06,46.87,173,22,198,3,0,20,4.0,open
speed_only,1051,0,2,3,timeout,240.0,22.565,149.8768,0.6462,41.58,26.135,25.64,0.625,27.82,46.87,124,22,1776,32,0,0,2.34,open
speed_only,1052,1,3,3,none,126.33,24.154,83.1602,0.6931,54.3,26.207,25.67,0.345,26.5,33.89,157,21,155,6,0,0,4.18,open
speed_only,1053,1,3,3,none,132.64,24.332,86.9554,0.8255,53.59,26.201,25.67,0.361,27.83,46.87,157,28,101,6,0,0,3.92,open
speed_only,1054,1,3,3,none,119.63,22.278,77.6205,0.7905,55.38,26.216,25.67,0.321,27.18,46.87,163,15,76,2,0,0,4.53,open
speed_only,1055,1,3,3,none,120.43,22.944,79.2088,0.8238,55.07,26.213,25.66,0.328,28.06,46.87,173,22,106,2,0,0,4.22,open
speed_only,1056,1,3,3,none,128.03,24.809,83.5424,0.7813,54.24,26.207,25.72,0.346,28.37,46.87,182,20,95,6,0,0,5.94,open
speed_only,1057,1,3,3,none,118.13,21.878,76.2778,0.7086,55.63,26.218,25.67,0.316,28.4,46.88,161,12,121,1,0,0,4.87,open
