seed,success,boxes,num_boxes,time_s,path_m,energy_wh,final_soc,nmpc_mean_ms,recoveries
1000,1,2,2,49.7,13.91,32.955,73.8,134.2,0
1001,1,2,2,52.7,14.46,34.940,73.4,107.6,1
1002,1,2,2,52.1,14.14,34.575,73.5,130.0,0
1003,1,2,2,52.1,14.53,34.631,73.5,124.8,1
1004,1,2,2,50.4,14.13,33.481,73.7,135.3,0
1005,1,2,2,50.9,14.18,33.904,73.6,110.8,1
1006,1,2,2,50.9,14.02,33.788,73.6,131.5,0
1007,1,2,2,49.2,14.07,32.701,73.8,168.7,0
1008,1,2,2,51.9,14.23,34.646,73.5,170.5,1
1009,1,2,2,58.6,14.79,39.042,72.7,195.3,2
1010,1,2,2,50.9,14.16,33.992,73.6,197.4,1
1011,1,2,2,50.8,14.03,33.873,73.6,158.3,1
1012,1,2,2,52.2,14.62,34.729,73.5,184.7,1
1013,1,2,2,51.2,14.32,34.092,73.6,186.1,1
1014,1,2,2,51.4,14.22,34.163,73.6,133.9,1
1015,1,2,2,54.0,14.42,35.897,73.2,113.3,1
1016,1,2,2,50.5,13.96,33.589,73.7,129.5,0
1017,1,2,2,51.5,14.06,34.188,73.6,156.3,0
1018,1,2,2,51.5,14.42,34.350,73.5,178.1,1
1019,1,2,2,50.0,13.89,33.274,73.7,155.6,0
