variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions
full,1000,1,3,3,none,97.97,24.484,65.0734,0.3566,57.68,26.234,25.69,0.271,132.44,186.95,150,22,168,2,0
full,1001,1,3,3,none,100.24,23.425,67.326,0.4406,57.26,26.231,25.72,0.28,123.42,173.42,148,31,132,0,0
full,1002,0,1,3,collision,35.96,8.766,23.9252,0.1432,65.48,26.296,25.73,0.099,138.88,171.36,50,12,58,1,1
full,1003,1,3,3,none,98.94,23.816,66.4852,0.4452,57.42,26.232,25.72,0.277,159.51,278.85,138,33,126,0,0
full,1004,0,1,3,collision,38.61,9.49,25.7596,0.1796,65.13,26.299,25.77,0.107,87.41,212.37,50,15,36,2,1
full,1005,1,3,3,none,98.17,23.899,64.961,0.3671,57.71,26.235,25.68,0.27,169.83,311.06,141,20,157,2,0
full,1006,1,3,3,none,107.42,25.827,71.4598,0.3985,56.47,26.225,25.68,0.297,143.32,208.78,139,27,180,4,0
full,1007,1,3,3,none,106.53,25.934,71.0028,0.4384,56.56,26.225,25.69,0.295,173.14,399.37,159,27,135,6,0
full,1008,1,3,3,none,108.93,26.72,72.8593,0.479,56.21,26.222,25.73,0.303,166.48,367.09,175,41,159,5,0
full,1009,1,3,3,none,99.57,23.89,66.3747,0.3987,57.44,26.232,25.72,0.276,161.36,328.78,150,24,152,3,0
full,1010,1,3,3,none,95.73,23.809,63.8692,0.3974,57.91,26.236,25.69,0.266,184.61,331.66,150,27,141,2,0
full,1011,1,3,3,none,107.73,25.361,71.4545,0.3487,56.47,26.224,25.69,0.297,167.83,244.29,145,27,156,4,0
full,1012,1,3,3,none,99.71,23.618,65.7524,0.3251,57.55,26.238,25.69,0.274,179.85,243.58,150,31,197,2,0
full,1013,1,3,3,none,107.12,25.398,70.8563,0.3617,56.59,26.225,25.69,0.295,169.39,227.62,148,16,165,5,0
