variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
full,1000,1,1,1,none,58.03,8.473,37.2006,0.1406,78.07,26.463,25.66,0.152,107.96,143.59,53,6,65,3,0,1,1.49,dead_end
full,1001,1,1,1,none,51.62,8.936,33.4324,0.1377,78.78,26.474,25.66,0.137,110.23,127.09,51,6,76,3,0,2,1.77,open
full,1002,1,1,1,none,51.92,8.121,33.56,0.1484,78.76,26.473,25.66,0.137,112.25,140.56,51,4,91,3,0,2,1.59,open
full,1003,1,1,1,none,48.73,9.114,31.7451,0.1727,79.1,26.479,25.67,0.13,110.08,130.67,50,9,76,3,0,1,1.91,dead_end
full,1004,1,1,1,none,54.85,9.534,35.7107,0.1389,78.35,26.467,25.67,0.146,109.95,130.73,50,14,92,4,0,1,1.88,dead_end
full,1005,1,1,1,none,51.14,8.889,33.2619,0.1579,78.81,26.474,25.67,0.136,105.98,131.08,51,14,97,2,0,0,1.91,dead_end
full,1006,1,1,1,none,47.63,8.145,30.9121,0.1344,79.25,26.481,25.66,0.126,95.96,133.48,52,12,82,1,0,0,1.65,dead_end
full,1007,1,1,1,none,50.85,9.033,33.1555,0.1331,78.83,26.474,25.67,0.136,93.12,141.01,50,14,110,3,0,0,1.9,dead_end
full,1008,1,1,1,none,61.82,9.765,40.2267,0.1715,77.5,26.453,25.67,0.165,100.11,132.86,50,13,96,4,0,3,2.64,dead_end
full,1009,1,1,1,none,95.54,14.826,62.9391,0.4179,73.22,26.385,25.66,0.259,92.7,121.15,51,32,129,9,0,3,4.27,open
full,1010,1,1,1,none,57.44,9.901,37.3464,0.1765,78.04,26.462,25.66,0.153,97.17,135.7,51,8,122,4,0,4,1.89,dead_end
full,1011,1,1,1,none,52.13,9.403,33.888,0.1311,78.69,26.472,25.67,0.139,94.2,127.05,51,10,55,2,0,0,1.85,dead_end
full,1012,1,1,1,none,51.32,8.927,33.4495,0.1375,78.77,26.474,25.66,0.137,93.49,116.95,53,12,77,3,0,3,1.94,dead_end
full,1013,1,1,1,none,54.12,9.673,35.3608,0.1546,78.42,26.468,25.66,0.145,91.29,121.2,51,11,66,4,0,0,2.07,open
full,1014,1,1,1,none,56.14,9.506,36.4244,0.1859,78.22,26.465,25.66,0.149,101.42,119.81,49,13,148,3,0,0,1.84,open
full,1015,1,1,1,none,47.71,8.361,31.0284,0.1534,79.23,26.485,25.66,0.127,104.63,127.22,53,8,71,2,0,0,1.71,dead_end
full,1016,0,0,1,timeout,240.0,21.108,158.5808,0.5701,55.1,26.208,25.74,0.657,124.49,162.68,38,54,126,39,0,1,18.48,dead_end
full,1017,0,0,1,collision,42.11,5.828,27.3682,0.0999,79.91,26.488,25.74,0.112,103.78,127.5,38,5,47,4,1,0,3.15,dead_end
full,1018,1,1,1,none,53.35,9.6,34.7528,0.1504,78.53,26.47,25.66,0.142,101.32,123.04,50,13,92,3,0,0,2.03,dead_end
full,1019,1,1,1,none,47.34,8.087,30.6444,0.1538,79.31,26.482,25.66,0.125,84.23,108.51,51,5,72,2,0,0,1.78,dead_end
