variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
full,1000,1,3,3,none,134.33,23.634,85.912,0.3992,53.72,26.202,25.66,0.358,96.82,143.72,149,22,145,4,0,0,4.49,open
full,1001,0,2,3,timeout,240.0,21.897,150.815,0.4662,41.37,26.134,25.66,0.629,87.95,133.71,125,34,191,29,0,0,2.87,open
full,1002,1,3,3,none,146.84,23.352,93.8316,0.3378,52.21,26.19,25.66,0.391,90.04,134.0,160,16,174,4,0,0,4.43,open
full,1003,1,3,3,none,157.32,23.821,100.6053,0.3732,50.93,26.18,25.66,0.419,96.43,138.47,160,23,318,6,0,0,4.38,open
full,1004,1,3,3,none,137.62,23.181,87.8581,0.3817,53.35,26.199,25.66,0.366,92.61,144.61,150,18,136,3,0,0,4.57,open
full,1005,1,3,3,none,153.04,24.057,98.7334,0.3365,51.28,26.183,25.67,0.412,96.0,143.75,143,20,164,8,0,0,4.08,open
full,1006,1,3,3,none,121.43,23.028,78.3718,0.4127,55.15,26.214,25.66,0.326,91.19,135.13,144,20,83,2,0,0,4.42,open
full,1007,1,3,3,none,128.92,23.583,82.8345,0.3688,54.31,26.207,25.66,0.345,94.93,144.74,160,14,92,3,0,0,4.31,open
full,1008,1,3,3,none,134.03,23.342,85.6976,0.3164,53.76,26.203,25.68,0.357,97.19,144.54,143,13,132,3,0,0,4.41,open
full,1009,1,3,3,none,130.21,23.417,83.491,0.3578,54.18,26.211,25.68,0.348,93.53,155.73,149,16,203,3,0,0,4.25,dead_end
full,1010,1,3,3,none,118.74,21.924,76.0504,0.3388,55.59,26.217,25.66,0.317,89.96,128.82,155,16,157,2,0,0,3.69,open
full,1011,1,3,3,none,127.82,23.033,81.8841,0.3483,54.49,26.208,25.66,0.341,90.87,124.48,163,17,197,2,0,0,3.97,open
full,1012,1,3,3,none,137.45,22.829,87.79,0.3396,53.36,26.199,25.66,0.366,96.15,137.14,147,13,156,2,0,0,4.84,open
full,1013,1,3,3,none,140.63,23.202,89.4251,0.3188,53.05,26.197,25.66,0.373,93.57,139.4,148,16,153,3,0,0,4.74,open
full,1014,1,3,3,none,121.11,22.578,77.8478,0.3752,55.26,26.219,25.66,0.324,91.44,133.89,173,12,71,1,0,0,4.81,dead_end
full,1015,1,3,3,none,139.04,23.136,88.3967,0.2978,53.25,26.198,25.66,0.368,96.3,144.15,145,15,118,3,0,0,4.62,open
full,1016,1,3,3,none,143.94,23.594,92.5789,0.3751,52.45,26.192,25.66,0.386,89.61,137.15,172,20,242,6,0,0,4.52,open
full,1017,1,3,3,none,133.91,22.917,85.1696,0.2803,53.86,26.208,25.66,0.355,89.56,127.61,146,13,129,2,0,0,4.64,dead_end
full,1018,1,3,3,none,135.82,22.959,86.5713,0.2907,53.59,26.201,25.66,0.361,94.98,139.65,149,17,183,2,0,0,4.97,open
full,1019,1,3,3,none,139.62,23.561,89.4659,0.3681,53.04,26.197,25.66,0.373,94.21,143.74,148,16,176,4,0,0,4.48,open
full,1020,1,3,3,none,147.84,23.746,94.2501,0.3058,52.13,26.19,25.66,0.393,96.26,144.62,156,17,112,5,0,0,4.78,open
full,1021,1,3,3,none,145.02,23.865,92.6101,0.3301,52.44,26.192,25.66,0.386,94.38,134.54,161,17,131,5,0,0,4.9,open
full,1022,1,3,3,none,139.24,23.61,88.9173,0.3705,53.15,26.198,25.66,0.37,93.41,132.58,155,16,204,4,0,0,4.17,open
full,1023,1,3,3,none,122.41,22.936,78.6356,0.3214,55.1,26.218,25.66,0.328,96.15,134.94,159,12,141,2,0,0,4.2,dead_end
full,1024,1,3,3,none,135.45,22.923,86.3078,0.2781,53.64,26.202,25.67,0.36,93.68,134.26,151,13,150,2,0,0,4.8,open
full,1025,1,3,3,none,140.91,23.073,90.5675,0.3493,52.83,26.2,25.68,0.377,92.18,138.75,172,18,122,3,0,0,4.31,dead_end
full,1026,1,3,3,none,137.74,21.976,88.3663,0.3745,53.25,26.199,25.66,0.368,92.92,133.68,183,17,146,3,0,0,4.09,open
full,1027,1,3,3,none,139.61,23.596,88.9701,0.3271,53.14,26.202,25.69,0.371,92.16,137.55,145,15,209,5,0,0,4.13,dead_end
full,1028,1,3,3,none,135.02,23.278,86.3841,0.3576,53.63,26.202,25.66,0.36,90.17,134.01,144,18,204,3,0,0,4.38,open
full,1029,1,3,3,none,135.24,23.209,86.4462,0.3369,53.62,26.202,25.66,0.36,90.38,134.53,157,13,161,4,0,0,4.63,open
full,1030,0,2,3,timeout,240.0,22.566,154.4568,0.3907,40.67,26.125,25.72,0.645,89.86,141.32,133,17,1271,26,0,0,4.44,open
full,1031,1,3,3,none,143.35,23.626,91.3452,0.2939,52.69,26.194,25.66,0.381,92.07,142.15,158,13,114,4,0,0,4.72,open
full,1032,1,3,3,none,137.82,23.738,88.1671,0.3395,53.29,26.199,25.69,0.367,92.46,140.27,143,14,184,5,0,0,4.7,open
full,1033,1,3,3,none,129.23,23.479,82.9765,0.3897,54.28,26.207,25.67,0.346,95.16,137.02,146,20,236,3,0,0,4.39,open
